link,name,popularity,year
http://www.metrolyrics.com/discoverer-lyrics-rem.html,Discoverer Lyrics,0,2011
http://www.metrolyrics.com/disguised-lyrics-rem.html,Disguised Lyrics,1,2016
http://www.metrolyrics.com/disturbance-at-the-heron-house-lyrics-rem.html,Disturbance At The Heron House Lyrics,1,2008
http://www.metrolyrics.com/dont-go-back-to-rockville-lyrics-rem.html,Don't Go Back To Rockville Lyrics,0,2011
http://www.metrolyrics.com/draggin-the-line-lyrics-rem.html,Draggin' The Line Lyrics,0,2006
http://www.metrolyrics.com/dragging-the-line-lyrics-rem.html,Dragging The Line Lyrics,0,2007
http://www.metrolyrics.com/drive-lyrics-rem.html,Drive Lyrics,4,2006
http://www.metrolyrics.com/driver-8-lyrics-rem.html,Driver 8 Lyrics,2,2011
http://www.metrolyrics.com/ebow-the-letter-lyrics-rem.html,E-bow The Letter Lyrics,3,2003
http://www.metrolyrics.com/electrolite-lyrics-rem.html,Electrolite Lyrics,2,2003
http://www.metrolyrics.com/electron-blue-lyrics-rem.html,Electron Blue Lyrics,0,2004
http://www.metrolyrics.com/eleventh-untitled-song-lyrics-rem.html,"Eleventh, Untitled Song Lyrics",0,2006
http://www.metrolyrics.com/end-of-the-world-as-we-know-it-lyrics-rem.html,End of the World As We Know It Lyrics,0,2007
http://www.metrolyrics.com/endgame-lyrics-rem.html,ENDGAME Lyrics,0,2014
http://www.metrolyrics.com/everbody-hurts-lyrics-rem.html,Everbody Hurts Lyrics,5,2006
http://www.metrolyrics.com/every-day-is-yours-to-win-lyrics-rem.html,Every Day Is Yours to Win Lyrics,0,2011
http://www.metrolyrics.com/everybody-hurts-lyrics-rem.html,Everybody Hurts Lyrics,6,2003
http://www.metrolyrics.com/exhuming-mccarthy-lyrics-rem.html,Exhuming Mccarthy Lyrics,0,2008
http://www.metrolyrics.com/fall-on-me-lyrics-rem.html,Fall On Me Lyrics,6,2011
http://www.metrolyrics.com/falls-to-climb-lyrics-rem.html,Falls To Climb Lyrics,0,2006
http://www.metrolyrics.com/feeling-gravitys-pull-lyrics-rem.html,Feeling Gravity's Pull Lyrics,0,2006
http://www.metrolyrics.com/femme-fatale-lyrics-rem.html,Femme Fatale Lyrics,0,2006
http://www.metrolyrics.com/final-straw-lyrics-rem.html,Final Straw Lyrics,0,2008
http://www.metrolyrics.com/find-the-river-lyrics-rem.html,Find The River Lyrics,4,2014
http://www.metrolyrics.com/finest-worksong-lyrics-rem.html,Finest Worksong Lyrics,1,2008
http://www.metrolyrics.com/fireplace-lyrics-rem.html,Fireplace Lyrics,0,2008
http://www.metrolyrics.com/first-we-take-manhattan-lyrics-rem.html,First We Take Manhattan Lyrics,0,2006
http://www.metrolyrics.com/fretless-lyrics-rem.html,Fretless Lyrics,2,2014
http://www.metrolyrics.com/funtime-lyrics-rem.html,Funtime Lyrics,0,2006
http://www.metrolyrics.com/furry-happy-monsters-lyrics-rem.html,Furry Happy Monsters Lyrics,0,2007
http://www.metrolyrics.com/future-40s-string-of-pearls-lyrics-rem.html,Future 40's (string Of Pearls) Lyrics,4,2006
http://www.metrolyrics.com/gardening-at-night-lyrics-rem.html,Gardening At Night Lyrics,2,2011
http://www.metrolyrics.com/get-up-lyrics-rem.html,Get Up Lyrics,0,2011
http://www.metrolyrics.com/ghost-rider-lyrics-rem.html,Ghost Rider Lyrics,0,2006
http://www.metrolyrics.com/good-advices-lyrics-rem.html,Good Advices Lyrics,0,2006
http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html,Green Grow The Rushes Lyrics,1,2006
http://www.metrolyrics.com/hairshirt-lyrics-rem.html,Hairshirt Lyrics,0,2006
http://www.metrolyrics.com/half-a-world-away-lyrics-rem.html,Half A World Away Lyrics,0,2014
http://www.metrolyrics.com/hallellujah-lyrics-rem.html,Hallellujah Lyrics,0,2011
http://www.metrolyrics.com/hallelujah-lyrics-rem.html,Hallelujah Lyrics,0,2011
http://www.metrolyrics.com/harborcoat-lyrics-rem.html,Harborcoat Lyrics,0,2006
http://www.metrolyrics.com/hey-hey-nadine-lyrics-rem.html,"Hey, Hey, Nadine Lyrics",0,2006
http://www.metrolyrics.com/high-speed-train-lyrics-rem.html,High Speed Train Lyrics,0,2004
http://www.metrolyrics.com/hollow-man-lyrics-rem.html,Hollow Man Lyrics,2,2008
http://www.metrolyrics.com/hope-lyrics-rem.html,Hope Lyrics,0,2006
http://www.metrolyrics.com/horse-to-water-lyrics-rem.html,Horse To Water Lyrics,2,2008
http://www.metrolyrics.com/houston-lyrics-rem.html,Houston Lyrics,1,2008
http://www.metrolyrics.com/how-the-west-was-won-and-where-it-got-us-lyrics-rem.html,How The West Was Won And Where It Got Us Lyrics,0,2006
http://www.metrolyrics.com/hyena-lyrics-rem.html,Hyena Lyrics,1,2006
http://www.metrolyrics.com/i-believe-lyrics-rem.html,I Believe Lyrics,2,2006
http://www.metrolyrics.com/i-dont-sleep-i-dream-lyrics-rem.html,"I Don't Sleep, I Dream Lyrics",0,2006
http://www.metrolyrics.com/i-remember-california-lyrics-rem.html,I Remember California Lyrics,0,2006
http://www.metrolyrics.com/i-took-your-name-lyrics-rem.html,I Took Your Name Lyrics,0,2006
http://www.metrolyrics.com/i-walked-with-a-zombie-lyrics-rem.html,I Walked With A Zombie Lyrics,0,2006
http://www.metrolyrics.com/i-wanted-to-be-wrong-lyrics-rem.html,I Wanted to Be Wrong Lyrics,0,2004
http://www.metrolyrics.com/ill-take-the-rain-lyrics-rem.html,I'll Take The Rain Lyrics,0,2014
http://www.metrolyrics.com/im-gonna-dj-lyrics-rem.html,I'm Gonna DJ Lyrics,0,2008
http://www.metrolyrics.com/im-not-over-you-lyrics-rem.html,I'm Not Over You Lyrics,0,2006
http://www.metrolyrics.com/ive-been-high-lyrics-rem.html,I've Been High Lyrics,0,2014
http://www.metrolyrics.com/ignoreland-lyrics-rem.html,Ignoreland Lyrics,3,2006
http://www.metrolyrics.com/imitation-of-life-lyrics-rem.html,Imitation Of Life Lyrics,3,2003
http://www.metrolyrics.com/it-happened-today-lyrics-rem.html,It Happened Today Lyrics,0,2011
http://www.metrolyrics.com/it-happens-today-lyrics-rem.html,It Happens Today Lyrics,0,2011
http://www.metrolyrics.com/its-a-free-world-baby-lyrics-rem.html,It's A Free World Baby Lyrics,0,2006
